policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1279,District Higher Education Education Reform 98,Early Childhood,Rajasthan,2018,Urban Students,Implemented,24.25,"Ministry of Education, Local NGOs",0.809,This policy aims to improve vocational skills in Early Childhood by providing curriculum reform across Rajasthan. It focuses on urban inclusion.,"Train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Early Childhood by providing curriculum reform across Rajasthan. It focuses on urban inclusion. Goals: Train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined.","p1279 district higher education education reform 98 early childhood rajasthan urban students implemented ministry of education, local ngos this policy aims to improve vocational skills in early childhood by providing curriculum reform across rajasthan. it focuses on urban inclusion. train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. this policy aims to improve vocational skills in early childhood by providing curriculum reform across rajasthan. it focuses on urban inclusion. goals: train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. budget allocations defined. budget allocations defined."
P1382,State Secondary Education Reform 28,Primary,Rajasthan,2018,Urban Students,Proposed,2.26,"Teachers' Unions, Community Leaders",0.495,This policy aims to improve early childhood development in Primary by providing grants to schools across Rajasthan. It focuses on marginalized communities.,Increase early childhood development score by 28% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve early childhood development in Primary by providing grants to schools across Rajasthan. It focuses on marginalized communities. Goals: Increase early childhood development score by 28% within 2 years and reduce disparities between rural and urban areas. Timeline set. Focus on equity.,"p1382 state secondary education reform 28 primary rajasthan urban students proposed teachers' unions, community leaders this policy aims to improve early childhood development in primary by providing grants to schools across rajasthan. it focuses on marginalized communities. increase early childhood development score by 28% within 2 years and reduce disparities between rural and urban areas. this policy aims to improve early childhood development in primary by providing grants to schools across rajasthan. it focuses on marginalized communities. goals: increase early childhood development score by 28% within 2 years and reduce disparities between rural and urban areas. timeline set. focus on equity."
P1473,District Higher Education Education Reform 61,Early Childhood,Karnataka,2022,All,Implemented,0.14,"Ministry of Education, Local NGOs",0.605,A nationwide/state-level initiative to strengthen teacher quality through teacher training programs. Targets All and aims to reduce dropout rates.,"Train 1250 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen teacher quality through teacher training programs. Targets All and aims to reduce dropout rates. Goals: Train 1250 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Stakeholder consultations planned.","p1473 district higher education education reform 61 early childhood karnataka all implemented ministry of education, local ngos a nationwide/state-level initiative to strengthen teacher quality through teacher training programs. targets all and aims to reduce dropout rates. train 1250 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. a nationwide/state-level initiative to strengthen teacher quality through teacher training programs. targets all and aims to reduce dropout rates. goals: train 1250 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. budget allocations defined. stakeholder consultations planned."
P1363,National Primary Education Reform 14,Primary,Punjab,2016,Women,Implemented,14.56,"Teachers' Unions, Community Leaders",0.416,This policy aims to improve digital access in Primary by providing public-private partnerships across Punjab. It focuses on STEM education.,"Train 1573 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Primary by providing public-private partnerships across Punjab. It focuses on STEM education. Goals: Train 1573 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Timeline set.","p1363 national primary education reform 14 primary punjab women implemented teachers' unions, community leaders this policy aims to improve digital access in primary by providing public-private partnerships across punjab. it focuses on stem education. train 1573 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. this policy aims to improve digital access in primary by providing public-private partnerships across punjab. it focuses on stem education. goals: train 1573 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. stakeholder consultations planned. timeline set."
P1325,District Vocational Education Reform 7,Secondary,Tamil Nadu,2015,Teachers,Implemented,2.62,"State Education Department, Private Partners",0.728,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Teachers and aims to boost employability.,Increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Teachers and aims to boost employability. Goals: Increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.,"p1325 district vocational education reform 7 secondary tamil nadu teachers implemented state education department, private partners a nationwide/state-level initiative to strengthen digital access through grants to schools. targets teachers and aims to boost employability. increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen digital access through grants to schools. targets teachers and aims to boost employability. goals: increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas. includes evaluation. focus on equity."
P1432,National Primary Education Reform 70,Higher Education,Maharashtra,2023,All,Pilot,5.02,"State Education Department, Private Partners",0.121,This policy aims to improve digital access in Higher Education by providing curriculum reform across Maharashtra. It focuses on gender equity.,Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve digital access in Higher Education by providing curriculum reform across Maharashtra. It focuses on gender equity. Goals: Increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.,"p1432 national primary education reform 70 higher education maharashtra all pilot state education department, private partners this policy aims to improve digital access in higher education by providing curriculum reform across maharashtra. it focuses on gender equity. increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. this policy aims to improve digital access in higher education by providing curriculum reform across maharashtra. it focuses on gender equity. goals: increase digital access score by 29% within 1 years and reduce disparities between rural and urban areas. includes evaluation. focus on equity."
P1348,National Early Childhood Education Reform 45,Primary,Karnataka,2021,Urban Students,Under Review,0.46,"Central Government, Donors",0.523,"Policy to enhance vocational skills and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement.","Train 4185 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and governance using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Train 4185 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Focus on equity. Stakeholder consultations planned.","p1348 national early childhood education reform 45 primary karnataka urban students under review central government, donors policy to enhance vocational skills and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. train 4185 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. policy to enhance vocational skills and governance using scholarship schemes. includes capacity-building, monitoring and community engagement. goals: train 4185 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. focus on equity. stakeholder consultations planned."
P1087,District Secondary Education Reform 72,Higher Education,Gujarat,2023,Urban Students,Under Review,11.89,"EdTech Companies, Universities",0.405,This policy aims to improve teacher quality in Higher Education by providing public-private partnerships across Gujarat. It focuses on literacy and numeracy.,"Train 4016 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve teacher quality in Higher Education by providing public-private partnerships across Gujarat. It focuses on literacy and numeracy. Goals: Train 4016 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Includes evaluation.","p1087 district secondary education reform 72 higher education gujarat urban students under review edtech companies, universities this policy aims to improve teacher quality in higher education by providing public-private partnerships across gujarat. it focuses on literacy and numeracy. train 4016 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. this policy aims to improve teacher quality in higher education by providing public-private partnerships across gujarat. it focuses on literacy and numeracy. goals: train 4016 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. budget allocations defined. includes evaluation."
P1076,National Higher Education Education Reform 34,Vocational,Uttar Pradesh,2024,Rural Students,Pilot,6.84,"Ministry of Education, Local NGOs",0.502,A nationwide/state-level initiative to strengthen vocational skills through curriculum reform. Targets Rural Students and aims to reduce dropout rates.,Increase vocational skills score by 40% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through curriculum reform. Targets Rural Students and aims to reduce dropout rates. Goals: Increase vocational skills score by 40% within 5 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined.,"p1076 national higher education education reform 34 vocational uttar pradesh rural students pilot ministry of education, local ngos a nationwide/state-level initiative to strengthen vocational skills through curriculum reform. targets rural students and aims to reduce dropout rates. increase vocational skills score by 40% within 5 years and reduce disparities between rural and urban areas. a nationwide/state-level initiative to strengthen vocational skills through curriculum reform. targets rural students and aims to reduce dropout rates. goals: increase vocational skills score by 40% within 5 years and reduce disparities between rural and urban areas. includes evaluation. budget allocations defined."
P1439,District Higher Education Education Reform 74,Early Childhood,Delhi,2018,Urban Students,Implemented,97.85,"EdTech Companies, Universities",0.436,"Policy to enhance infrastructure and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Train 508 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance infrastructure and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Train 508 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Timeline set. Budget allocations defined.","p1439 district higher education education reform 74 early childhood delhi urban students implemented edtech companies, universities policy to enhance infrastructure and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement. train 508 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. policy to enhance infrastructure and safety standards using public-private partnerships. includes capacity-building, monitoring and community engagement. goals: train 508 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. timeline set. budget allocations defined."
P1016,District Secondary Education Reform 56,Secondary,Karnataka,2019,Rural Students,Proposed,36.81,"State Education Department, Private Partners",0.694,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Karnataka. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Karnataka. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Timeline set.","p1016 district secondary education reform 56 secondary karnataka rural students proposed state education department, private partners this policy aims to improve teacher quality in secondary by providing scholarship schemes across karnataka. it focuses on urban inclusion. introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. this policy aims to improve teacher quality in secondary by providing scholarship schemes across karnataka. it focuses on urban inclusion. goals: introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. budget allocations defined. timeline set."
