policy_id,title,sector,region,year,impact_score,goals,text_for_nlp
P1244,District Secondary Education Reform 16,Secondary,Uttar Pradesh,2015,0.584,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district secondary education reform 16 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1055,District Vocational Education Reform 93,Primary,Delhi,2024,0.238,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district vocational education reform 93 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1364,District Higher Education Education Reform 40,Early Childhood,Rajasthan,2017,0.428,"Train 519 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 40 train 519 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1051,National Secondary Education Reform 43,Secondary,Punjab,2015,0.198,Increase learning outcomes score by 6% within 2 years and reduce disparities between rural and urban areas.,national secondary education reform 43 increase learning outcomes score by 6% within 2 years and reduce disparities between rural and urban areas.
P1457,National Vocational Education Reform 47,Secondary,West Bengal,2016,0.287,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 47 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1175,State Higher Education Education Reform 82,Higher Education,Rajasthan,2023,0.225,Increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas.,state higher education education reform 82 increase vocational skills score by 17% within 2 years and reduce disparities between rural and urban areas.
P1446,National Secondary Education Reform 50,Vocational,Maharashtra,2020,0.751,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 50 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1190,State Early Childhood Education Reform 14,Secondary,Punjab,2016,0.334,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state early childhood education reform 14 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1497,State Secondary Education Reform 5,Secondary,Gujarat,2025,0.341,"Train 539 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 5 train 539 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1188,District Vocational Education Reform 83,Early Childhood,Maharashtra,2019,0.534,"Train 869 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 83 train 869 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1170,State Higher Education Education Reform 55,Primary,Maharashtra,2015,0.95,"Train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state higher education education reform 55 train 2857 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1059,National Vocational Education Reform 69,Secondary,Rajasthan,2023,0.488,Increase digital access score by 31% within 3 years and reduce disparities between rural and urban areas.,national vocational education reform 69 increase digital access score by 31% within 3 years and reduce disparities between rural and urban areas.
P1049,National Primary Education Reform 31,Early Childhood,Tamil Nadu,2021,0.888,Increase vocational skills score by 28% within 2 years and reduce disparities between rural and urban areas.,national primary education reform 31 increase vocational skills score by 28% within 2 years and reduce disparities between rural and urban areas.
P1345,National Higher Education Education Reform 67,Early Childhood,Uttar Pradesh,2020,0.173,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 67 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1236,District Higher Education Education Reform 50,Primary,Rajasthan,2019,0.178,"Train 3468 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 50 train 3468 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1253,National Higher Education Education Reform 60,Primary,Maharashtra,2023,0.669,Increase infrastructure score by 39% within 3 years and reduce disparities between rural and urban areas.,national higher education education reform 60 increase infrastructure score by 39% within 3 years and reduce disparities between rural and urban areas.
P1022,National Vocational Education Reform 86,Early Childhood,Rajasthan,2024,0.497,Increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.,national vocational education reform 86 increase infrastructure score by 22% within 5 years and reduce disparities between rural and urban areas.
P1314,State Early Childhood Education Reform 56,Vocational,Karnataka,2018,0.686,"Train 213 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state early childhood education reform 56 train 213 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1460,National Early Childhood Education Reform 99,Early Childhood,Delhi,2017,0.477,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 99 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1161,State Higher Education Education Reform 88,Secondary,Karnataka,2025,0.446,"Train 2861 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","state higher education education reform 88 train 2861 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1277,National Vocational Education Reform 22,Higher Education,Rajasthan,2017,0.435,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 22 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1444,National Vocational Education Reform 41,Secondary,Delhi,2017,0.259,"Train 3671 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 41 train 3671 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1192,State Primary Education Reform 29,Vocational,Uttar Pradesh,2016,0.561,"Train 430 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state primary education reform 29 train 430 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1386,District Primary Education Reform 8,Secondary,Kerala,2022,0.312,"Train 1149 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district primary education reform 8 train 1149 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1294,National Early Childhood Education Reform 77,Primary,Tamil Nadu,2018,0.773,Increase learning outcomes score by 40% within 4 years and reduce disparities between rural and urban areas.,national early childhood education reform 77 increase learning outcomes score by 40% within 4 years and reduce disparities between rural and urban areas.
P1414,National Secondary Education Reform 12,Secondary,Punjab,2015,0.956,Increase digital access score by 37% within 5 years and reduce disparities between rural and urban areas.,national secondary education reform 12 increase digital access score by 37% within 5 years and reduce disparities between rural and urban areas.
P1344,National Primary Education Reform 48,Higher Education,Rajasthan,2020,0.756,"Train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national primary education reform 48 train 2919 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1258,National Higher Education Education Reform 27,Early Childhood,West Bengal,2021,0.758,Increase vocational skills score by 25% within 5 years and reduce disparities between rural and urban areas.,national higher education education reform 27 increase vocational skills score by 25% within 5 years and reduce disparities between rural and urban areas.
P1309,National Secondary Education Reform 83,Higher Education,Punjab,2016,0.118,Increase teacher quality score by 22% within 1 years and reduce disparities between rural and urban areas.,national secondary education reform 83 increase teacher quality score by 22% within 1 years and reduce disparities between rural and urban areas.
P1150,National Higher Education Education Reform 27,Secondary,West Bengal,2023,0.144,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national higher education education reform 27 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1131,National Vocational Education Reform 65,Higher Education,Rajasthan,2021,0.648,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national vocational education reform 65 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1152,State Vocational Education Reform 60,Higher Education,Uttar Pradesh,2019,0.176,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state vocational education reform 60 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1360,National Secondary Education Reform 89,Vocational,Maharashtra,2018,0.125,Increase digital access score by 11% within 4 years and reduce disparities between rural and urban areas.,national secondary education reform 89 increase digital access score by 11% within 4 years and reduce disparities between rural and urban areas.
P1100,State Primary Education Reform 45,Vocational,Rajasthan,2020,0.264,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","state primary education reform 45 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1373,National Higher Education Education Reform 37,Higher Education,West Bengal,2021,0.87,"Train 3936 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","national higher education education reform 37 train 3936 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes."
P1088,District Vocational Education Reform 41,Vocational,Kerala,2023,0.438,"Train 394 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district vocational education reform 41 train 394 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1459,National Primary Education Reform 94,Secondary,Delhi,2019,0.68,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national primary education reform 94 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1331,National Early Childhood Education Reform 55,Vocational,Maharashtra,2022,0.784,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national early childhood education reform 55 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1215,State Secondary Education Reform 39,Primary,Karnataka,2023,0.107,"Train 3576 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","state secondary education reform 39 train 3576 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1467,National Higher Education Education Reform 99,Higher Education,Maharashtra,2020,0.965,Increase learning outcomes score by 17% within 4 years and reduce disparities between rural and urban areas.,national higher education education reform 99 increase learning outcomes score by 17% within 4 years and reduce disparities between rural and urban areas.
P1122,National Vocational Education Reform 73,Vocational,Rajasthan,2023,0.582,"Train 3532 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","national vocational education reform 73 train 3532 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1500,State Higher Education Education Reform 35,Higher Education,Punjab,2015,0.495,Increase learning outcomes score by 35% within 5 years and reduce disparities between rural and urban areas.,state higher education education reform 35 increase learning outcomes score by 35% within 5 years and reduce disparities between rural and urban areas.
P1021,National Secondary Education Reform 61,Early Childhood,Maharashtra,2022,0.231,Increase vocational skills score by 38% within 4 years and reduce disparities between rural and urban areas.,national secondary education reform 61 increase vocational skills score by 38% within 4 years and reduce disparities between rural and urban areas.
P1189,District Higher Education Education Reform 89,Early Childhood,Tamil Nadu,2024,0.104,"Train 2316 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","district higher education education reform 89 train 2316 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1072,National Primary Education Reform 26,Primary,Kerala,2019,0.355,"Train 1069 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","national primary education reform 26 train 1069 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes."
P1107,State Primary Education Reform 82,Primary,Tamil Nadu,2016,0.896,"Train 2270 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","state primary education reform 82 train 2270 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes."
P1271,State Secondary Education Reform 83,Vocational,Maharashtra,2017,0.912,Increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.,state secondary education reform 83 increase vocational skills score by 21% within 4 years and reduce disparities between rural and urban areas.
P1349,District Early Childhood Education Reform 53,Vocational,Uttar Pradesh,2021,0.871,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","district early childhood education reform 53 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1436,National Secondary Education Reform 3,Higher Education,Rajasthan,2022,0.855,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","national secondary education reform 3 introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance."
P1103,National Higher Education Education Reform 41,Vocational,Karnataka,2024,0.932,Increase early childhood development score by 26% within 2 years and reduce disparities between rural and urban areas.,national higher education education reform 41 increase early childhood development score by 26% within 2 years and reduce disparities between rural and urban areas.
